Category;1. I think that I would like to use this system frequently;2. I found the system unnecessarily complex;3. I thought the system was easy to use;4. I think that I would need the support of a technical person to be able to use this system;5. I found the various functions in this system were well integrated;6. I thought there was too much inconsistency in this system;7. I would imagine that most people would learn to use this system very quickly;8. I found the system very cumbersome to use;9. I felt very confident using the system;10. I needed to learn a lot of things before I could get going with this system;SUS score
Novice Users;3;3;3;2;3;1;3;3;3;1;62.5
Novice Users;3;3;3;4;4;2;4;4;3;4;85
Novice Users;2;4;4;4;3;3;2;3;3;3;77.5
Novice Users;3;3;3;3;1;1;3;4;4;4;72.5
Novice Users;0;0;3;1;0;0;0;0;0;1;12.5
Novice Users;3;3;1;3;3;3;3;3;3;1;65
Novice Users;3;2;3;1;4;0;4;2;3;1;57.5
Novice Users;2;3;3;2;3;3;4;3;2;3;70
Novice Users;3;3;1;3;2;2;3;3;3;3;65
Novice Users;3;3;3;1;3;4;3;4;3;3;75
Expert Unfamiliar Users;2;1;4;2;3;2;1;3;3;1;55
Expert Unfamiliar Users;3;1;4;4;2;2;1;3;1;4;62.5
Expert Unfamiliar Users;2;1;4;3;3;0;2;2;3;1;52.5
Expert Unfamiliar Users;3;2;3;4;3;1;3;4;3;4;75
Expert Unfamiliar Users;4;4;4;4;4;4;4;4;4;4;100
Expert Unfamiliar Users;3;3;3;4;3;3;2;4;3;4;80
Expert Unfamiliar Users;4;2;3;2;4;3;3;3;3;3;75
Expert Unfamiliar Users;2;4;3;4;1;4;4;4;1;4;77.5
Expert Unfamiliar Users;4;3;4;4;3;3;3;4;3;4;87.5
Expert Unfamiliar Users;3;2;1;4;2;2;1;3;1;3;55
Expert Familiar Users;3;1;3;2;2;2;0;2;2;3;50
Expert Familiar Users;4;3;4;4;2;1;2;3;3;3;72.5
Expert Familiar Users;1;2;3;4;2;1;0;2;1;4;50
Expert Familiar Users;3;3;4;4;3;4;2;4;3;4;85
Expert Familiar Users;3;2;3;3;3;3;3;3;2;3;70
Expert Familiar Users;3;1;3;3;3;3;1;1;2;1;52.5
Expert Familiar Users;3;1;3;3;2;3;2;3;3;3;65
Expert Familiar Users;3;1;3;1;1;2;1;2;2;1;42.5
Expert Familiar Users;1;0;2;3;1;1;1;0;2;1;30
Expert Familiar Users;3;2;2;4;3;3;1;2;4;4;70